,Id,PreMinedValue,ImageUrl,FullName,Name,Symbol,Algorithm,Url,SortOrder,FullyPremined,ProofType,TotalCoinSupply,TotalCoinsFreeFloat,SmartContractAddress,Sponsored,BuiltOn,CoinName
NXT,1183,N/A,/media/20627/nxt.png,Nxt (NXT),NXT,NXT,PoS,/coins/nxt/overview,6,1,PoS/LPoS,1000000000,N/A,N/A,False,N/A,Nxt
BTCD,4400,N/A,/media/19630/btcd_1.png,BitcoinDark (BTCD),BTCD,BTCD,SHA256,/coins/btcd/overview,13,0,PoW/PoS,22000000,N/A,N/A,False,N/A,BitcoinDark
PPC,2349,N/A,/media/19864/peercoin-logo.png,PeerCoin (PPC),PPC,PPC,N/A,/coins/ppc/overview,14,0,N/A,N/A,N/A,N/A,False,N/A,PeerCoin
CRAIG,4425,N/A,/media/20022/craig.png,CraigsCoin (CRAIG),CRAIG,CRAIG,X11,/coins/craig/overview,15,0,PoS,30000000,N/A,N/A,False,N/A,CraigsCoin
XBS,5023,N/A,/media/351060/xbs_1.png,Bitstake (XBS),XBS,XBS,X11,/coins/xbs/overview,16,0,PoW/PoS,1300000,N/A,N/A,False,N/A,Bitstake
XPY,5030,N/A,/media/20076/xpy_1.png,PayCoin (XPY),XPY,XPY,SHA256,/coins/xpy/overview,17,0,PoS,12500000,N/A,N/A,False,N/A,PayCoin
DANK,3640,N/A,/media/20247/dank.png,DarkKush (DANK),DANK,DANK,X13,/coins/dank/overview,20,0,PoW/PoS,3000000,N/A,N/A,False,N/A,DarkKush
GIVE,3641,N/A,/media/20297/give.png,GiveCoin (GIVE),GIVE,GIVE,X11,/coins/give/overview,21,0,PoW,500000000,N/A,N/A,False,N/A,GiveCoin
KOBO,3642,N/A,/media/20329/kobo.png,KoboCoin (KOBO),KOBO,KOBO,X15,/coins/kobo/overview,22,0,PoW/PoS,350000000,N/A,N/A,False,N/A,KoboCoin
DT,3643,N/A,/media/20031/dt.png,DarkToken (DT),DT,DT,NIST5,/coins/dt/overview,23,0,PoW/PoS,0,N/A,N/A,False,N/A,DarkToken
CETI,3644,N/A,/media/20228/ceti.png,CETUS Coin (CETI),CETI,CETI,Scrypt,/coins/ceti/overview,24,0,PoW/PoS,0,N/A,N/A,False,N/A,CETUS Coin
SUP,3645,N/A,/media/20442/sup.png,Supcoin (SUP),SUP,SUP,N/A,/coins/sup/overview,25,0,PoW,0,N/A,N/A,False,N/A,Supcoin
XPD,3646,N/A,/media/20162/xpd.png,PetroDollar (XPD),XPD,XPD,SHA256D,/coins/xpd/overview,26,0,N/A,122107462,N/A,N/A,False,N/A,PetroDollar
GEO,3647,N/A,/media/20292/geo.png,GeoCoin (GEO),GEO,GEO,Scrypt,/coins/geo/overview,27,0,N/A,1000000000,N/A,N/A,False,N/A,GeoCoin
CHASH,3648,N/A,/media/20231/chash.png,CleverHash (CHASH),CHASH,CHASH,N/A,/coins/chash/overview,28,0,N/A,0,N/A,N/A,False,N/A,CleverHash
SPR,3649,N/A,/media/20438/spr.png,Spreadcoin (SPR),SPR,SPR,X11,/coins/spr/overview,29,0,PoW,20000000,N/A,N/A,False,N/A,Spreadcoin
WOLF,3653,N/A,/media/20559/wolf.png,Insanity Coin (WOLF),WOLF,WOLF,X11,/coins/wolf/overview,31,0,PoW,50000000,N/A,N/A,False,N/A,Insanity Coin
XDP,3655,N/A,/media/20560/xdp.png,DogeParty (XDP),XDP,XDP,N/A,/coins/xdp/overview,32,0,N/A,0,N/A,N/A,False,N/A,DogeParty
2015,3744,N/A,/media/20180/2015.png,2015 coin (2015),2015,2015,X11,/coins/2015/overview,33,0,PoW/PoS,0,N/A,N/A,False,N/A,2015 coin
42,4321,N/A,/media/12318415/42.png,42 Coin (42),42,42,Scrypt,/coins/42/overview,34,0,PoW/PoS,42,N/A,N/A,False,N/A,42 Coin
AC,4322,N/A,/media/19593/ac.png,Asia Coin (AC),AC,AC,Scrypt,/coins/ac/overview,35,0,PoS,N/A,N/A,N/A,False,N/A,Asia Coin
AERO,4324,N/A,/media/19594/aero.png,Aero Coin (AERO),AERO,AERO,X13,/coins/aero/overview,37,0,PoS,7000000,N/A,N/A,False,N/A,Aero Coin
ALF,4325,N/A,/media/19600/alf.png,AlphaCoin (ALF),ALF,ALF,Scrypt,/coins/alf/overview,38,0,PoW,210182000,N/A,N/A,False,N/A,AlphaCoin
AGS,4326,N/A,/media/19595/ags.png,Aegis (AGS),AGS,AGS,X13,/coins/ags/overview,39,0,PoS,0,N/A,N/A,False,N/A,Aegis
AMC,4327,N/A,/media/19601/amc.png,AmericanCoin (AMC),AMC,AMC,Scrypt,/coins/amc/overview,40,0,PoW,168000000,N/A,N/A,False,N/A,AmericanCoin
APEX,4330,N/A,/media/19599/apex.png,ApexCoin (APEX),APEX,APEX,X13,/coins/apex/overview,43,0,PoW/PoS,6000000,N/A,N/A,False,N/A,ApexCoin
ARCH,4331,N/A,/media/20085/arch.png,ArchCoin (ARCH),ARCH,ARCH,Scrypt,/coins/arch/overview,44,0,PoS,16403135,N/A,N/A,False,N/A,ArchCoin
ARI,4332,N/A,/media/20082/ari.png,AriCoin (ARI),ARI,ARI,Scrypt,/coins/ari/overview,46,0,PoW,322649400,N/A,N/A,False,N/A,AriCoin
BCX,4335,N/A,/media/19620/bcx.png,BattleCoin (BCX),BCX,BCX,SHA256,/coins/bcx/overview,49,0,PoS,100000000,N/A,N/A,False,N/A,BattleCoin
BET,4337,N/A,/media/19621/bet.png,BetaCoin (BET),BET,BET,SHA256,/coins/bet/overview,51,0,PoW,32000000,N/A,N/A,False,N/A,BetaCoin
BITB,4338,N/A,/media/350879/bitb.png,BitBean (BITB),BITB,BITB,SHA256,/coins/bitb/overview,52,0,PoW/PoS,50000000000,N/A,N/A,False,N/A,BitBean
BLU,4340,N/A,/media/19624/blu.png,BlueCoin (BLU),BLU,BLU,X11,/coins/blu/overview,53,0,PoW/PoS,500000000,N/A,N/A,False,N/A,BlueCoin
BLK,4339,N/A,/media/351795/blk.png,BlackCoin (BLK),BLK,BLK,Scrypt,/coins/blk/overview,54,0,PoS,N/A,N/A,N/A,False,N/A,BlackCoin
BOST,4342,N/A,/media/19626/bost.png,BoostCoin (BOST),BOST,BOST,X13,/coins/bost/overview,56,0,PoW/PoS,N/A,N/A,N/A,False,N/A,BoostCoin
BQC,4343,N/A,/media/19631/bqc.png,BQCoin (BQC),BQC,BQC,Scrypt,/coins/bqc/overview,57,0,PoW,88000000,N/A,N/A,False,N/A,BQCoin
MOON,4346,N/A,/media/19802/moon.png,MoonCoin (MOON),MOON,MOON,Scrypt,/coins/moon/overview,59,0,PoW,384000000000,N/A,N/A,False,N/A,MoonCoin
ZET,4347,N/A,/media/19993/zet.png,ZetaCoin (ZET),ZET,ZET,SHA256,/coins/zet/overview,60,0,PoW,N/A,N/A,N/A,False,N/A,ZetaCoin
SXC,4348,N/A,/media/19924/sxc.png,SexCoin (SXC),SXC,SXC,Scrypt,/coins/sxc/overview,61,0,PoW,250000000,N/A,N/A,False,N/A,SexCoin
QTL,4349,N/A,/media/19879/qtl.png,Quatloo (QTL),QTL,QTL,Scrypt,/coins/qtl/overview,62,0,PoW,100000000,N/A,N/A,False,N/A,Quatloo
ENRG,4350,N/A,/media/19697/enrg.png,EnergyCoin (ENRG),ENRG,ENRG,Scrypt,/coins/enrg/overview,63,0,PoW/PoS,0,N/A,N/A,False,N/A,EnergyCoin
QRK,4351,N/A,/media/19882/qrk.png,QuarkCoin (QRK),QRK,QRK,Multiple,/coins/qrk/overview,64,0,PoW,247000000,N/A,N/A,False,N/A,QuarkCoin
RIC,4352,N/A,/media/19888/ric.jpg,Riecoin (RIC),RIC,RIC,Groestl,/coins/ric/overview,65,0,PoW,84000000,N/A,N/A,False,N/A,Riecoin
DGC,4353,N/A,/media/19676/dgc.png,DigiCoin (DGC),DGC,DGC,Scrypt,/coins/dgc/overview,66,0,PoW,48166000,N/A,N/A,False,N/A,DigiCoin
LIMX,4354,N/A,/media/19769/limx.png,LimeCoinX (LIMX),LIMX,LIMX,X11,/coins/limx/overview,67,0,PoW,21000000 ,N/A,N/A,False,N/A,LimeCoinX
BTB,4399,N/A,/media/20083/bitb.png,BitBar (BTB),BTB,BTB,Scrypt,/coins/btb/overview,69,0,PoW/PoS,500000,N/A,N/A,False,N/A,BitBar
CAIX,4406,N/A,/media/20226/caix.png,CAIx (CAIx),CAIx,CAIX,Scrypt,/coins/caix/overview,70,0,PoS,0,N/A,N/A,False,N/A,CAIx
BTE,4401,N/A,/media/19632/bte.png,ByteCoin (BTE),BTE,BTE,SHA256,/coins/bte/overview,71,0,PoW,21000000 ,N/A,N/A,False,N/A,ByteCoin
BTM,4403,N/A,/media/20084/btm.png,BitMark (BTM),BTM,BTM,Scrypt,/coins/btm/overview,73,0,PoW,27580000,N/A,N/A,False,N/A,BitMark
BUK,4404,N/A,/media/19637/buk.png,CryptoBuk (BUK),BUK,BUK,Scrypt,/coins/buk/overview,74,0,PoW/PoS,100000000,N/A,N/A,False,N/A,CryptoBuk
CACH,4405,N/A,/media/19642/cach.png,Cachecoin (CACH),CACH,CACH,Scrypt,/coins/cach/overview,75,0,PoW,2000000000,N/A,N/A,False,N/A,Cachecoin
CANN,4407,N/A,/media/20015/cann.png,CannabisCoin (CANN),CANN,CANN,X11,/coins/cann/overview,76,0,PoW,N/A,N/A,N/A,False,N/A,CannabisCoin
CAP,4408,N/A,/media/20017/cap.png,BottleCaps (CAP),CAP,CAP,Scrypt,/coins/cap/overview,77,0,PoW/PoS,47433600,N/A,N/A,False,N/A,BottleCaps
CASH,4409,N/A,/media/20016/cash.png,CashCoin (CASH),CASH,CASH,Scrypt,/coins/cash/overview,78,0,PoW/PoS,47433600,N/A,N/A,False,N/A,CashCoin
CAT1,4410,N/A,/media/19644/cat.png,Catcoin (CAT1),CAT1,CAT1,Scrypt,/coins/cat1/overview,79,0,PoW,21000000 ,N/A,N/A,False,N/A,Catcoin
CBX,4411,N/A,/media/30001996/cbx.png,CryptoBullion (CBX),CBX,CBX,Scrypt,/coins/cbx/overview,80,0,PoW/PoS,1000000,N/A,N/A,False,N/A,CryptoBullion
CCN,4412,N/A,/media/19643/ccn.png,CannaCoin (CCN),CCN,CCN,Scrypt,/coins/ccn/overview,81,0,PoW,13140000,N/A,N/A,False,N/A,CannaCoin
CIN,4413,N/A,/media/20698/cinder.png,CinderCoin (CIN),CIN,CIN,Multiple,/coins/cin/overview,82,0,PoW/PoS,114000000,N/A,N/A,False,N/A,CinderCoin
CINNI,4414,N/A,/media/19651/cinni.jpeg,CINNICOIN (CINNI),CINNI,CINNI,Scrypt,/coins/cinni/overview,83,0,PoW,15000000,N/A,N/A,False,N/A,CINNICOIN
CXC,4415,N/A,/media/20246/cxc.png,CheckCoin (CXC),CXC,CXC,N/A,/coins/cxc/overview,84,0,PoS,100000000,N/A,N/A,False,N/A,CheckCoin
CLAM,4416,N/A,/media/20020/clam.png,CLAMS (CLAM),CLAM,CLAM,N/A,/coins/clam/overview,85,0,PoW,N/A,N/A,N/A,False,N/A,CLAMS
CLOAK,4417,N/A,/media/19994/cloak.png,CloakCoin (CLOAK),CLOAK,CLOAK,X13,/coins/cloak/overview,86,0,PoW/PoS,N/A,N/A,N/A,False,N/A,CloakCoin
CLR,4418,N/A,/media/19657/clr.png,CopperLark (CLR),CLR,CLR,SHA256,/coins/clr/overview,87,0,PoW,27200000,N/A,N/A,False,N/A,CopperLark
CMC,4419,N/A,/media/20019/cmc.png,CosmosCoin (CMC),CMC,CMC,Scrypt,/coins/cmc/overview,88,0,PoW/PoS,100000000,N/A,N/A,False,N/A,CosmosCoin
CNC,4420,N/A,/media/20021/cnc.png,ChinaCoin (CNC),CNC,CNC,Scrypt,/coins/cnc/overview,89,0,PoW,462500000,N/A,N/A,False,N/A,ChinaCoin
CNL,4421,N/A,/media/20024/cnl.png,ConcealCoin (CNL),CNL,CNL,X11,/coins/cnl/overview,90,0,PoW,8500000,N/A,N/A,False,N/A,ConcealCoin
COMM,4422,N/A,/media/19661/comm.png,Community Coin (COMM),COMM,COMM,Scrypt,/coins/comm/overview,91,0,PoW/PoS,1000000000,N/A,N/A,False,N/A,Community Coin
COOL,4423,N/A,/media/19658/cool.png,CoolCoin (COOL),COOL,COOL,Scrypt,/coins/cool/overview,92,0,PoS,100000000,N/A,N/A,False,N/A,CoolCoin
CRACK,4424,N/A,/media/20023/crack.png,CrackCoin (CRACK),CRACK,CRACK,X11,/coins/crack/overview,93,0,PoW,6000000,N/A,N/A,False,N/A,CrackCoin
CRYPT,4427,N/A,/media/19664/crypt.png,CryptCoin (CRYPT),CRYPT,CRYPT,X11,/coins/crypt/overview,95,0,PoW,18000000,N/A,N/A,False,N/A,CryptCoin
CSC,4428,N/A,/media/34478059/csc.png,CasinoCoin (CSC),CSC,CSC,N/A,/coins/csc/overview,96,0,PoC,40000000000,N/A,N/A,False,N/A,CasinoCoin
DEM,4429,N/A,/media/20028/dem.png,eMark (DEM),DEM,DEM,SHA256,/coins/dem/overview,97,0,PoW/PoS,210000000,N/A,N/A,False,N/A,eMark
DMD,4431,N/A,/media/19680/dmd.png,Diamond (DMD),DMD,DMD,Groestl,/coins/dmd/overview,98,0,PoW/PoS,4380000,N/A,N/A,False,N/A,Diamond
DRKC,4434,N/A,/media/20027/drkc.png,DarkCash (DRKC),DRKC,DRKC,X11,/coins/drkc/overview,100,0,PoW/PoS,3720000,N/A,N/A,False,N/A,DarkCash
DSB,4435,N/A,/media/20034/dsb.png,DarkShibe (DSB),DSB,DSB,Scrypt,/coins/dsb/overview,101,0,PoW,2043962,N/A,N/A,False,N/A,DarkShibe
DVC,4436,N/A,/media/20563/dvc.png,DevCoin (DVC),DVC,DVC,SHA256,/coins/dvc/overview,102,0,PoW,21000000000,N/A,N/A,False,N/A,DevCoin
EAC,4437,N/A,/media/19690/eac.png,EarthCoin (EAC),EAC,EAC,Scrypt,/coins/eac/overview,103,0,PoW,13500000000,N/A,N/A,False,N/A,EarthCoin
EFL,4438,N/A,/media/19692/efl.png,E-Gulden (EFL),EFL,EFL,Scrypt,/coins/efl/overview,104,0,PoW,21000000 ,N/A,N/A,False,N/A,E-Gulden
ELC,4439,N/A,/media/19694/elc.png,Elacoin (ELC),ELC,ELC,Scrypt,/coins/elc/overview,105,0,PoW,75000000,N/A,N/A,False,N/A,Elacoin
EMC2,4440,N/A,/media/20033/emc2.png,Einsteinium (EMC2),EMC2,EMC2,Scrypt,/coins/emc2/overview,106,0,PoW,299792458,N/A,N/A,False,N/A,Einsteinium
EXCL,4442,N/A,/media/20035/excl.png,Exclusive Coin (EXCL),EXCL,EXCL,PoS,/coins/excl/overview,108,0,PoS,4000000,N/A,N/A,False,N/A,Exclusive Coin
EXE,4443,N/A,/media/19700/exe.png,ExeCoin (EXE),EXE,EXE,Scrypt,/coins/exe/overview,109,0,PoW,21000000 ,N/A,N/A,False,N/A,ExeCoin
EZC,4444,N/A,/media/19702/ezc.png,EZCoin (EZC),EZC,EZC,Scrypt,/coins/ezc/overview,110,0,PoW,84000000,N/A,N/A,False,N/A,EZCoin
FLAP,4445,N/A,/media/20032/flap.png,Flappy Coin (FLAP),FLAP,FLAP,Scrypt,/coins/flap/overview,111,0,PoW,100000000000,N/A,N/A,False,N/A,Flappy Coin
FC2,4446,N/A,/media/19719/fuel.png,Fuel2Coin (FC2),FC2,FC2,X11,/coins/fc2/overview,112,0,PoS,100000000,N/A,N/A,False,N/A,Fuel2Coin
FFC,4447,N/A,/media/19706/ffc.png,FireflyCoin (FFC),FFC,FFC,SHA256,/coins/ffc/overview,113,0,PoW,700000000000,N/A,N/A,False,N/A,FireflyCoin
FIBRE,4448,N/A,/media/20030/fibre.png,FIBRE (FIBRE),FIBRE,FIBRE,NIST5,/coins/fibre/overview,114,0,PoW/PoS,624000,N/A,N/A,False,N/A,FIBRE
FRC,4521,N/A,/media/1382629/frc.png,FireRoosterCoin (FRC),FRC,FRC,SHA256,/coins/frc/overview,115,0,PoW,2602410,N/A,N/A,False,N/A,FireRoosterCoin
FLT,4449,N/A,/media/19709/flt.png,FlutterCoin (FLT),FLT,FLT,Scrypt,/coins/flt/overview,116,0,PoS/PoW/PoT,0,N/A,N/A,False,N/A,FlutterCoin
FRK,4522,N/A,/media/19712/frk.png,Franko (FRK),FRK,FRK,Scrypt,/coins/frk/overview,117,0,PoW,11235813,N/A,N/A,False,N/A,Franko
FRAC,4450,N/A,/media/19710/frac.png,FractalCoin (FRAC),FRAC,FRAC,X11,/coins/frac/overview,118,0,PoW,1000000,N/A,N/A,False,N/A,FractalCoin
FST,4523,N/A,/media/19720/fst.png,FastCoin (FST),FST,FST,Scrypt,/coins/fst/overview,119,0,PoW,165888000,N/A,N/A,False,N/A,FastCoin
FTC,4524,N/A,/media/19718/ftc.png,FeatherCoin (FTC),FTC,FTC,NeoScrypt,/coins/ftc/overview,120,0,PoW,336000000,N/A,N/A,False,N/A,FeatherCoin
GDC,4526,N/A,/media/20054/gdc.png,GrandCoin (GDC),GDC,GDC,Scrypt,/coins/gdc/overview,122,0,PoW,1420609614,N/A,N/A,False,N/A,GrandCoin
GLC,4527,N/A,/media/19724/glc.png,GlobalCoin (GLC),GLC,GLC,Scrypt,/coins/glc/overview,123,0,PoW,70000000,N/A,N/A,False,N/A,GlobalCoin
GLD,4528,N/A,/media/19723/gld.png,GoldCoin (GLD),GLD,GLD,Scrypt,/coins/gld/overview,124,0,PoW,72245700,N/A,N/A,False,N/A,GoldCoin
GLX,4529,N/A,/media/19728/glx.png,GalaxyCoin (GLX),GLX,GLX,Scrypt,/coins/glx/overview,125,0,PoW/PoS,538214400,N/A,N/A,False,N/A,GalaxyCoin
GLYPH,4530,N/A,/media/19725/glyph.png,GlyphCoin (GLYPH),GLYPH,GLYPH,X11,/coins/glyph/overview,126,0,PoW/PoS,7000000,N/A,N/A,False,N/A,GlyphCoin
GML,4531,N/A,/media/19726/gml.png,GameLeagueCoin (GML),GML,GML,Scrypt,/coins/gml/overview,127,0,PoW/PoS,500000000,N/A,N/A,False,N/A,GameLeagueCoin
GUE,4532,N/A,/media/19732/gue.png,GuerillaCoin (GUE),GUE,GUE,X11,/coins/gue/overview,128,0,PoW/PoS,19500000,N/A,N/A,False,N/A,GuerillaCoin
HAL,4533,N/A,/media/20036/hal.png,Halcyon (HAL),HAL,HAL,X15,/coins/hal/overview,129,0,PoW/PoS,0,N/A,N/A,False,N/A,Halcyon
HBN,4534,N/A,/media/19735/hbn.png,HoboNickels (HBN),HBN,HBN,Scrypt,/coins/hbn/overview,130,0,PoW/PoS,120000000,N/A,N/A,False,N/A,HoboNickels
HUC,4535,N/A,/media/20037/hun.png,HunterCoin (HUC),HUC,HUC,Multiple,/coins/huc/overview,131,0,PoW,42000000,N/A,N/A,False,N/A,HunterCoin
HVC,4536,N/A,/media/19745/hvc.png,HeavyCoin (HVC),HVC,HVC,Multiple,/coins/hvc/overview,132,0,PoW,128000000,N/A,N/A,False,N/A,HeavyCoin
HYP,4537,N/A,/media/20624/hyp.png,Hyperstake (HYP),HYP,HYP,X11,/coins/hyp/overview,133,0,PoW/PoS,0,N/A,N/A,False,N/A,Hyperstake
ICB,4538,N/A,/media/19747/icb.png,IceBergCoin (ICB),ICB,ICB,NIST5,/coins/icb/overview,134,0,PoW/PoS,8750000,N/A,N/A,False,N/A,IceBergCoin
IFC,4539,N/A,/media/19754/ifc.png,Infinite Coin (IFC),IFC,IFC,Scrypt,/coins/ifc/overview,135,0,PoW,9060000000000000000,N/A,N/A,False,N/A,Infinite Coin
IOC,4540,N/A,/media/20042/ioc.png,IOCoin (IOC),IOC,IOC,X11,/coins/ioc/overview,136,0,PoW/PoS,N/A,N/A,N/A,False,N/A,IOCoin
IXC,4541,N/A,/media/19761/ixc.png,IXcoin (IXC),IXC,IXC,SHA256,/coins/ixc/overview,137,0,PoW,21000000,N/A,N/A,False,N/A,IXcoin
JBS,4542,N/A,/media/20044/jbs.png,JumBucks Coin (JBS),JBS,JBS,X11,/coins/jbs/overview,138,0,PoW/PoS,3293010,N/A,N/A,False,N/A,JumBucks Coin
JKC,4543,N/A,/media/19757/jkc.png,JunkCoin (JKC),JKC,JKC,Scrypt,/coins/jkc/overview,139,0,PoW,107000000,N/A,N/A,False,N/A,JunkCoin
JUDGE,4544,N/A,/media/20038/judge.png,JudgeCoin (JUDGE),JUDGE,JUDGE,X13,/coins/judge/overview,140,0,PoW/PoS,21600000,N/A,N/A,False,N/A,JudgeCoin
KDC,4545,N/A,/media/19766/kdc.png,Klondike Coin (KDC),KDC,KDC,Scrypt,/coins/kdc/overview,141,0,PoW,20000000,N/A,N/A,False,N/A,Klondike Coin
KEY*,4546,N/A,/media/20331/key.png,KeyCoin (KEY*),KEY*,KEY*,X13,/coins/keystar/overview,142,0,PoW/PoS,1000000,N/A,N/A,False,N/A,KeyCoin
KGC,4547,N/A,/media/19763/kgc.png,KrugerCoin (KGC),KGC,KGC,Scrypt,/coins/kgc/overview,143,0,PoW,265420800,N/A,N/A,False,N/A,KrugerCoin
LK7,4550,N/A,/media/19776/lk7.png,Lucky7Coin (LK7),LK7,LK7,Scrypt,/coins/lk7/overview,146,0,PoW/PoS,99792000,N/A,N/A,False,N/A,Lucky7Coin
LKY,4551,N/A,/media/19774/lky.png,LuckyCoin (LKY),LKY,LKY,Scrypt,/coins/lky/overview,147,0,PoW,20000000,N/A,N/A,False,N/A,LuckyCoin
LSD,4552,N/A,/media/20041/lsd.png,LightSpeedCoin (LSD),LSD,LSD,NIST5,/coins/lsd/overview,148,0,PoW/PoS,900000,N/A,N/A,False,N/A,LightSpeedCoin
LTB,4553,N/A,/media/20336/ltb.png,Litebar  (LTB),LTB,LTB,Scrypt,/coins/ltb/overview,149,0,PoW,1350000,N/A,N/A,False,N/A,Litebar 
LTCD,4554,N/A,/media/20043/ltcd.png,LitecoinDark (LTCD),LTCD,LTCD,Scrypt,/coins/ltcd/overview,150,0,PoW,82003200,N/A,N/A,False,N/A,LitecoinDark
LTCX,4555,N/A,/media/19779/ltcx.png,LitecoinX (LTCX),LTCX,LTCX,X11,/coins/ltcx/overview,151,0,PoW,84000000,N/A,N/A,False,N/A,LitecoinX
LXC,4556,N/A,/media/20045/lxc.png,LibrexCoin (LXC),LXC,LXC,X11,/coins/lxc/overview,152,0,PoW/PoS,1000000,N/A,N/A,False,N/A,LibrexCoin
LYC,4557,N/A,/media/19785/lyc.png,LycanCoin (LYC),LYC,LYC,Scrypt,/coins/lyc/overview,153,0,PoW,4950000000,N/A,N/A,False,N/A,LycanCoin
MAX,4558,N/A,/media/19786/max.png,MaxCoin (MAX),MAX,MAX,SHA3,/coins/max/overview,154,0,PoW/PoS,100000000,N/A,N/A,False,N/A,MaxCoin
MEC,4559,N/A,/media/19789/mec.png,MegaCoin (MEC),MEC,MEC,Scrypt,/coins/mec/overview,155,0,PoW,42000000,N/A,N/A,False,N/A,MegaCoin
MED,4560,N/A,/media/20046/med.png,MediterraneanCoin (MED),MED,MED,HybridScryptHash256,/coins/med/overview,156,0,PoW,200000000,N/A,N/A,False,N/A,MediterraneanCoin
MIN,4561,N/A,/media/19793/min.png,Minerals Coin (MIN),MIN,MIN,X11,/coins/min/overview,157,0,PoW/PoS,1000000,N/A,N/A,False,N/A,Minerals Coin
MINT,4562,N/A,/media/19797/mint.png,MintCoin (MINT),MINT,MINT,Scrypt,/coins/mint/overview,158,0,PoS,0,N/A,N/A,False,N/A,MintCoin
MN,4563,N/A,/media/19796/mn1.png,Cryptsy Mining Contract (MN),MN,MN,SHA256,/coins/mn/overview,159,0,PoW,0,N/A,N/A,False,N/A,Cryptsy Mining Contract
MNC,4564,N/A,/media/19805/mincoin.png,MinCoin (MNC),MNC,MNC,Scrypt,/coins/mnc/overview,160,0,PoW,10000000,N/A,N/A,False,N/A,MinCoin
MRY,4566,N/A,/media/19807/mry.jpg,MurrayCoin (MRY),MRY,MRY,Scrypt,/coins/mry/overview,162,0,PoW,58000000,N/A,N/A,False,N/A,MurrayCoin
MZC,4568,N/A,/media/19816/mzc.png,MazaCoin (MZC),MZC,MZC,SHA256,/coins/mzc/overview,164,0,PoW/PoS,2419200000,N/A,N/A,False,N/A,MazaCoin
NAN,4569,N/A,/media/19821/nan.png,NanoToken (NAN),NAN,NAN,Scrypt,/coins/nan/overview,165,0,PoW,80000000,N/A,N/A,False,N/A,NanoToken
NAUT,4570,N/A,/media/19822/naut.png,Nautilus Coin (NAUT),NAUT,NAUT,Scrypt,/coins/naut/overview,166,0,PoS,16180000,N/A,N/A,False,N/A,Nautilus Coin
NAV,4571,N/A,/media/351431/nav.png,NavCoin (NAV),NAV,NAV,X13,/coins/nav/overview,167,0,PoW/PoS,0,N/A,N/A,False,N/A,NavCoin
NBL,4572,N/A,/media/19825/nbl.png,Nybble (NBL),NBL,NBL,Scrypt,/coins/nbl/overview,168,0,PoW,210000000,N/A,N/A,False,N/A,Nybble
NEC,4573,N/A,/media/19824/nec.png,NeoCoin (NEC),NEC,NEC,Scrypt,/coins/nec/overview,169,0,PoW/PoS,80000000,N/A,N/A,False,N/A,NeoCoin
NET,4574,N/A,/media/19826/net.png,NetCoin (NET),NET,NET,Scrypt,/coins/net/overview,170,0,PoW,N/A,N/A,N/A,False,N/A,NetCoin
NMB,4575,N/A,/media/20049/nmb.png,Nimbus Coin (NMB),NMB,NMB,X15,/coins/nmb/overview,171,0,PoW/PoS,25000000,N/A,N/A,False,N/A,Nimbus Coin
NRB,4576,N/A,/media/19839/nrb.png,NoirBits (NRB),NRB,NRB,SHA256,/coins/nrb/overview,172,0,PoW,50000000,N/A,N/A,False,N/A,NoirBits
NOBL,4577,N/A,/media/19833/nobl.png,NobleCoin (NOBL),NOBL,NOBL,Scrypt,/coins/nobl/overview,173,0,PoW,15000000000,N/A,N/A,False,N/A,NobleCoin
NRS,4578,N/A,/media/19834/nrs.png,NoirShares (NRS),NRS,NRS,Scrypt,/coins/nrs/overview,174,0,PoW/PoS,5000000,N/A,N/A,False,N/A,NoirShares
NVC,4579,N/A,/media/20713/nvc.png,NovaCoin (NVC),NVC,NVC,Scrypt,/coins/nvc/overview,175,0,PoW/PoS,N/A,N/A,N/A,False,N/A,NovaCoin
NMC,4580,N/A,/media/19830/nmc.png,Namecoin (NMC),NMC,NMC,SHA256,/coins/nmc/overview,176,0,PoW,21000000,N/A,N/A,False,N/A,Namecoin
NYAN,4581,N/A,/media/19842/nyan.png,NyanCoin (NYAN),NYAN,NYAN,Scrypt,/coins/nyan/overview,177,0,PoW,337000,N/A,N/A,False,N/A,NyanCoin
OPAL,4582,N/A,/media/20050/opal.png,OpalCoin (OPAL),OPAL,OPAL,X13,/coins/opal/overview,178,0,PoW/PoS,15000000,N/A,N/A,False,N/A,OpalCoin
ORB,4583,N/A,/media/19845/orb.png,Orbitcoin (ORB),ORB,ORB,NeoScrypt,/coins/orb/overview,179,0,PoW/PoS,3770000,N/A,N/A,False,N/A,Orbitcoin
OSC,4584,N/A,/media/19847/osc.png,OpenSourceCoin (OSC),OSC,OSC,SHA256,/coins/osc/overview,180,0,PoW/PoS,21000000,N/A,N/A,False,N/A,OpenSourceCoin
PHS,4585,N/A,/media/19857/phs.png,PhilosophersStone (PHS),PHS,PHS,Scrypt,/coins/phs/overview,181,0,PoW,8891840,N/A,N/A,False,N/A,PhilosophersStone
POINTS,4586,N/A,/media/19863/points.png,Cryptsy Points (POINTS),POINTS,POINTS,N/A,/coins/points/overview,182,0,N/A,0,N/A,N/A,False,N/A,Cryptsy Points
POT,4587,N/A,/media/19865/pot.png,PotCoin (POT),POT,POT,Scrypt,/coins/pot/overview,183,0,PoW,420000000,N/A,N/A,False,N/A,PotCoin
